procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7670840 286712 8175132    0    0     0     0  752  539 48  2 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7670840 286712 8175132    0    0     0     0  720  490 49  2 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  694  437 49  1 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0    16  738  504 48  2 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  723  482 48  2 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  722  478 49  1 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  735  511 48  2 50  0  0
 2  0      0 7670840 286712 8175132    0    0     0     0  735  533 49  2 50  0  0
 2  0      0 7671212 286712 8175132    0    0     0     0  723  506 48  2 50  0  0
 2  0      0 7671212 286712 8175132    0    0     0    28  713  470 49  1 49  0  0
 2  0      0 7671212 286712 8175132    0    0     0     0  697  456 47  3 50  0  0
 2  0      0 7671212 286712 8175132    0    0     0     0  683  428 49  2 50  0  0
 2  0      0 7671212 286712 8175132    0    0     0     0  683  430 48  2 50  0  0
 2  0      0 7671212 286712 8175132    0    0     0     0  674  419 49  1 50  0  0
 2  0      0 7671212 286716 8175132    0    0     0    48  697  457 49  2 49  0  0
 2  0      0 7670592 286716 8175128    0    0     0    24  738  522 49  2 49  0  0
 2  0      0 7670592 286716 8175128    0    0     0     0  692  440 49  2 50  0  0
 2  0      0 7670592 286716 8175128    0    0     0     0  687  439 49  2 50  0  0
 2  0      0 7670592 286716 8175128    0    0     0     0  711  467 49  2 49  0  0
 2  0      0 7670592 286716 8175128    0    0     0     0  691  443 49  1 50  0  0
 2  0      0 7670592 286716 8175128    0    0     0     0  694  457 49  2 50  0  0
 2  0      0 7670220 286720 8175128    0    0     0    16  727  513 48  2 49  0  0
lstm training finishs batch_size 128 layer_num 2 layer_size 100
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 7834956 286720 8175092    0    0     0     0 1994  849 44  8 48  0  0
 2  0      0 7773884 286720 8175100    0    0     0     0  828  846 36  6 58  0  0
 2  0      0 7773884 286720 8175100    0    0     0    28  859  751 46  5 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0     0  856  732 46  5 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0     0  859  726 46  5 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0    16  856  715 44  7 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0     0  858  750 46  4 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0     0  874  747 46  5 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0     0  863  747 45  5 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0     0  884  744 46  5 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0     0  902  788 45  6 49  0  0
 2  0      0 7773916 286720 8175100    0    0     0    16  934  878 47  5 48  0  0
 3  0      0 7773916 286720 8175100    0    0     0     0  941  913 44  8 49  0  0
 2  0      0 7773916 286720 8175104    0    0     0     0  938  916 46  6 48  0  0
 2  0      0 7773916 286720 8175104    0    0     0     0  930  884 45  6 48  0  0
 2  0      0 7773916 286720 8175104    0    0     0     0  900  866 47  4 49  0  0
 2  0      0 7773916 286720 8175104    0    0     0    16  945  909 46  6 48  0  0
 2  0      0 7773916 286720 8175104    0    0     0     0  902  878 46  5 49  0  0
 2  0      0 7773916 286720 8175104    0    0     0     0  897  822 44  7 48  0  0
 2  0      0 7773916 286720 8175104    0    0     0     0  912  867 43  8 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  913  862 46  6 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7769824 286720 8175104    0    0     0    16  833  733 44  7 48  0  0
 2  0      0 7769824 286720 8175104    0    0     0     8  870  773 45  6 48  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  899  867 45  7 48  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  885  851 46  5 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  911  852 45  7 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0    16  958  910 46  6 48  0  0
 2  0      0 7769824 286720 8175104    0    0     0    20 1014 1098 45  7 48  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  946  894 45  7 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  929  890 45  6 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  905  871 45  6 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0    44  926  895 45  7 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  920  911 45  6 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  909  890 46  5 49  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  928  898 45  7 48  0  0
 2  0      0 7769824 286720 8175104    0    0     0     0  915  900 46  6 49  0  0
 2  0      0 7769824 286724 8175104    0    0     0    16  934  916 46  6 49  0  0
 3  0      0 7769700 286724 8175104    0    0     0    24  947  925 46  6 48  0  0
 2  0      0 7768088 286724 8175104    0    0     0     0  973  985 45  7 48  0  0
 2  0      0 7768088 286724 8175104    0    0     0     0  906  827 46  5 48  0  0
 2  0      0 7768088 286724 8175104    0    0     0     0  890  808 46  6 48  0  0
 2  0      0 7768088 286728 8175104    0    0     0    16  943  914 45  6 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7768088 286728 8175104    0    0     0     0  941  932 46  6 49  0  0
 2  0      0 7768088 286728 8175104    0    0     0     0  930  924 45  7 49  0  0
 2  0      0 7768088 286728 8175104    0    0     0     0  958  946 46  6 48  0  0
 2  0      0 7768088 286728 8175104    0    0     0     0  938  901 45  6 49  0  0
 2  0      0 7768088 286728 8175104    0    0     0    16  975  964 46  6 48  0  0
 2  0      0 7768088 286728 8175104    0    0     0     0  961  959 45  6 49  0  0
 2  0      0 7768088 286728 8175104    0    0     0     0  941  907 46  6 49  0  0
 2  0      0 7768088 286728 8175104    0    0     0     0  945  912 44  8 49  0  0
 2  0      0 7768120 286728 8175104    0    0     0     0  963  909 46  6 49  0  0
 2  0      0 7768120 286728 8175104    0    0     0    16  950  927 46  6 49  0  0
 2  0      0 7768120 286728 8175104    0    0     0     0  969  932 45  7 48  0  0
 2  0      0 7768120 286728 8175104    0    0     0     0  950  907 46  5 49  0  0
 2  0      0 7768120 286728 8175104    0    0     0     0  957  924 45  7 48  0  0
 2  0      0 7768120 286728 8175104    0    0     0     0  922  899 46  5 49  0  0
 2  0      0 7768120 286728 8175104    0    0     0    16  946  934 45  7 48  0  0
 2  0      0 7766632 286728 8175104    0    0     0     8  922  853 46  6 48  0  0
 2  0      0 7766632 286728 8175104    0    0     0     0  878  721 47  6 48  0  0
 2  0      0 7766632 286728 8175108    0    0     0     0  896  809 47  5 48  0  0
 2  0      0 7766632 286728 8175108    0    0     0     0  933  869 44  7 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0    16  946  890 45  7 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     8  936  877 45  7 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7766632 286728 8175112    0    0     0     0  913  870 44  7 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     0  932  879 45  6 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     0  919  856 46  6 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0    28  926  883 47  5 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     0  924  871 45  6 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     0  916  866 46  6 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     0  900  843 45  7 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     0  916  848 46  5 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0    16  888  844 44  8 48  0  0
 2  0      0 7766632 286728 8175112    0    0     0     8  921  855 45  6 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     0  929  875 45  7 49  0  0
 2  0      0 7766632 286728 8175112    0    0     0     0  919  844 46  6 49  0  0
 3  0      0 7766912 286728 8175112    0    0     0     0  923  869 46  6 49  0  0
 2  0      0 7766912 286728 8175112    0    0     0    16  878  762 44  8 48  0  0
 2  0      0 7766912 286728 8175112    0    0     0     0  869  796 46  6 49  0  0
 2  0      0 7766912 286728 8175112    0    0     0     0  937  899 45  6 48  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  898  848 46  5 48  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  923  870 43  8 49  0  0
 2  0      0 7766788 286728 8175112    0    0     0    16  935  904 47  5 48  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  909  865 44  7 49  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  906  847 46  6 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7766788 286728 8175112    0    0     0     0  920  877 46  6 48  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  902  838 45  7 49  0  0
 2  0      0 7766788 286728 8175112    0    0     0    16  933  891 46  5 48  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  920  887 44  8 48  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  910  871 46  5 49  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  907  837 45  6 48  0  0
 2  0      0 7766788 286728 8175112    0    0     0     0  919  862 47  5 49  0  0
 2  0      0 7766788 286728 8175112    0    0     0    16  905  875 45  7 49  0  0
 3  0      0 7766788 286728 8175112    0    0     0    12  926  927 45  7 48  0  0
 2  0      0 7766268 286728 8175112    0    0     0     0  945  904 46  6 48  0  0
 2  0      0 7766540 286728 8175112    0    0     0     0  836  702 46  6 48  0  0
 2  0      0 7766540 286728 8175112    0    0     0     0  852  740 46  6 48  0  0
lstm training finishs batch_size 16 layer_num 2 layer_size 100
 2  0      0 7761828 286728 8175124    0    0     0    28 2031 44405 33  9 57  0  0
 2  0      0 7756992 286728 8175124    0    0     0     4  851  713 47  4 49  0  0
